,Unnamed: 0,uid,path,shimmer_std,energy_frequency_domain,fundamental_frequency,formant_frequency
0,0,bldi,../drive/MyDrive/Explainability/Data/LPF_train_audios/bldi.wav,0.6470202,81.22079160727374,0.20816752,0.09587946
1,1,aluc,../drive/MyDrive/Explainability/Data/LPF_train_audios/aluc.wav,0.72028005,84.08430397893727,0.13530794,0.10680761
2,2,sone,../drive/MyDrive/Explainability/Data/LPF_train_audios/sone.wav,0.5907599,74.93927830636912,0.23728105,0.10332159
3,3,zofn,../drive/MyDrive/Explainability/Data/LPF_train_audios/zofn.wav,0.6141271,86.13551601659307,0.1402553,0.0845956
4,4,llnv,../drive/MyDrive/Explainability/Data/LPF_train_audios/llnv.wav,0.5972071,76.37313431969888,0.1283767,0.09129069
5,5,vhyj,../drive/MyDrive/Explainability/Data/LPF_train_audios/vhyj.wav,0.6352724,81.16059909004507,0.24390654,0.07932195
6,6,ulux,../drive/MyDrive/Explainability/Data/LPF_train_audios/ulux.wav,0.81535757,93.54193343152849,0.30622026,0.11079911
7,7,ggtq,../drive/MyDrive/Explainability/Data/LPF_train_audios/ggtq.wav,0.5550203,84.84001064764458,0.16485828,0.12036445
8,8,kkvv,../drive/MyDrive/Explainability/Data/LPF_train_audios/kkvv.wav,0.5138167,78.5943710389356,0.22974287,0.089285806
9,9,jqee,../drive/MyDrive/Explainability/Data/LPF_train_audios/jqee.wav,0.76866657,72.70280944116624,0.11773162,0.112109475
10,10,gpdj,../drive/MyDrive/Explainability/Data/LPF_train_audios/gpdj.wav,0.6587481,86.0696236695623,0.15844366,0.107437745
11,11,nwqn,../drive/MyDrive/Explainability/Data/LPF_train_audios/nwqn.wav,0.5824462,79.56253401248304,0.15703827,0.09760697
12,12,ukas,../drive/MyDrive/Explainability/Data/LPF_train_audios/ukas.wav,0.5549602,95.09169458645225,0.28809467,0.096564345
13,13,fdkq,../drive/MyDrive/Explainability/Data/LPF_train_audios/fdkq.wav,0.6092603,90.14910870478218,0.045264043,0.09659489
14,14,hpkr,../drive/MyDrive/Explainability/Data/LPF_train_audios/hpkr.wav,0.6271166,78.08136867110007,0.3022145,0.1148967
15,15,qrth,../drive/MyDrive/Explainability/Data/LPF_train_audios/qrth.wav,0.58345526,76.35907720135864,0.24014384,0.10310753
16,16,jlge,../drive/MyDrive/Explainability/Data/LPF_train_audios/jlge.wav,0.6104056,96.3782248508906,0.16937406,0.11722438
17,17,webr,../drive/MyDrive/Explainability/Data/LPF_train_audios/webr.wav,0.6403726,89.57122455574188,0.20896123,0.114849515
18,18,afrv,../drive/MyDrive/Explainability/Data/LPF_train_audios/afrv.wav,0.6426689,92.10022304316851,0.18205887,0.090096
19,19,fdaw,../drive/MyDrive/Explainability/Data/LPF_train_audios/fdaw.wav,0.64367056,93.47385503106564,0.30760404,0.11335654
20,20,ioyk,../drive/MyDrive/Explainability/Data/LPF_train_audios/ioyk.wav,0.57823575,78.32952733897847,0.19569036,0.10396575
21,21,ffks,../drive/MyDrive/Explainability/Data/LPF_train_audios/ffks.wav,0.65150136,80.8709276065093,0.23952292,0.11607621
22,22,oufk,../drive/MyDrive/Explainability/Data/LPF_train_audios/oufk.wav,0.6491947,79.48768149060976,0.23968484,0.11725839
23,23,vfjz,../drive/MyDrive/Explainability/Data/LPF_train_audios/vfjz.wav,0.6764412,79.2143901818467,0.19973467,0.099738844
24,24,avvv,../drive/MyDrive/Explainability/Data/LPF_train_audios/avvv.wav,0.64564055,81.57598736297894,0.15440978,0.120490216
25,25,rtqs,../drive/MyDrive/Explainability/Data/LPF_train_audios/rtqs.wav,0.69807273,93.79994411388824,0.17993532,0.1036644
26,26,qjga,../drive/MyDrive/Explainability/Data/LPF_train_audios/qjga.wav,0.5917743,106.15186698322202,0.17471173,0.088968486
27,27,okri,../drive/MyDrive/Explainability/Data/LPF_train_audios/okri.wav,0.5451543,83.4002625899484,0.15095262,0.10128487
28,28,jbtb,../drive/MyDrive/Explainability/Data/LPF_train_audios/jbtb.wav,0.6097024,82.27472007906735,0.3259055,0.11200506
29,29,tfiv,../drive/MyDrive/Explainability/Data/LPF_train_audios/tfiv.wav,0.5899544,71.70097658194764,0.115048,0.10516275
30,30,oobv,../drive/MyDrive/Explainability/Data/LPF_train_audios/oobv.wav,0.56349576,80.4129459476674,0.1374516,0.07484147
31,31,awxj,../drive/MyDrive/Explainability/Data/LPF_train_audios/awxj.wav,0.6069681,92.61438779529652,0.30287507,0.09978383
32,32,bphm,../drive/MyDrive/Explainability/Data/LPF_train_audios/bphm.wav,0.65662056,80.87235757698855,0.28480622,0.1209448
33,33,cqyj,../drive/MyDrive/Explainability/Data/LPF_train_audios/cqyj.wav,0.71065223,81.43952829430248,0.21483566,0.10241566
34,34,uzbh,../drive/MyDrive/Explainability/Data/LPF_train_audios/uzbh.wav,0.6375167,90.43049994924547,0.32864273,0.09961873
35,35,otmd,../drive/MyDrive/Explainability/Data/LPF_train_audios/otmd.wav,0.5498636,81.20993579004052,0.15624738,0.08499759
36,36,xdkf,../drive/MyDrive/Explainability/Data/LPF_train_audios/xdkf.wav,0.7338815,82.79585142951518,0.30450436,0.10811842
37,37,hriv,../drive/MyDrive/Explainability/Data/LPF_train_audios/hriv.wav,0.5923454,80.87145501754068,0.30103153,0.10091074
38,38,kpcc,../drive/MyDrive/Explainability/Data/LPF_train_audios/kpcc.wav,0.5304802,90.56756783233362,0.18657537,0.09207092
39,39,smwa,../drive/MyDrive/Explainability/Data/LPF_train_audios/smwa.wav,0.67697126,77.4228242675432,0.21787566,0.10948567
40,40,manc,../drive/MyDrive/Explainability/Data/LPF_train_audios/manc.wav,0.59537405,83.4585218265883,0.25076225,0.081360005
41,41,qgbp,../drive/MyDrive/Explainability/Data/LPF_train_audios/qgbp.wav,0.5534074,80.7986939834652,0.370066,0.10927964
42,42,rugj,../drive/MyDrive/Explainability/Data/LPF_train_audios/rugj.wav,0.6108162,86.15683063926127,0.21526723,0.075175434
43,43,axuy,../drive/MyDrive/Explainability/Data/LPF_train_audios/axuy.wav,0.66199005,72.58007575063348,0.21085966,0.10054482
